Related,Last,Previous,Unit,Reference,fecha_carga
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-14
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-14
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-14
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-14
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-14
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-14
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-14
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-14
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-15
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-15
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-15
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-15
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-15
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-15
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-15
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-15
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-16
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-16
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-16
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-16
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-16
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-16
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-16
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-16
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-17
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-17
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-17
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-17
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-17
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-17
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-17
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-17
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-18
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-18
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-18
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-18
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-18
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-18
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-18
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-18
Consumer Price Index CPI,115.6,115.59,points,Sep 2025,2025-11-19
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-19
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-19
CPI Housing Utilities,102.57,102.68,points,Sep 2025,2025-11-19
CPI Transportation,113.38,113.43,points,Sep 2025,2025-11-19
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-19
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-19
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-19
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-20
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-20
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-20
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-20
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-20
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-20
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-20
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-20
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-21
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-21
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-21
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-21
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-21
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-21
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-21
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-21
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-22
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-22
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-22
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-22
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-22
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-22
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-22
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-22
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-23
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-23
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-23
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-23
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-23
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-23
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-23
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-23
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-24
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-24
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-24
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-24
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-24
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-24
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-24
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-24
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-25
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-25
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-25
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-25
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-25
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-25
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-25
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-25
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-26
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-26
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-26
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-26
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-26
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-26
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-26
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-26
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-27
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-27
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-27
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-27
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-27
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-27
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-27
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-27
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-28
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-28
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-28
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-28
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-28
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-28
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-28
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-28
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-29
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-29
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-29
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-29
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-29
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-29
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-29
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-29
Consumer Price Index CPI,115.48,115.6,points,Oct 2025,2025-11-30
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-11-30
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-11-30
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-11-30
CPI Transportation,113.55,113.38,points,Oct 2025,2025-11-30
Inflation Rate YoY,1.35,1.36,percent,Oct 2025,2025-11-30
Inflation Rate MoM,-0.1,0.01,percent,Oct 2025,2025-11-30
Producer Prices,126.58,127.38,points,Oct 2025,2025-11-30
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-01
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-01
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-01
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-12-01
CPI Transportation,113.55,113.38,points,Oct 2025,2025-12-01
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-01
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-01
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-01
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-02
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-02
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-02
CPI Housing Utilities,102.34,102.57,points,Oct 2025,2025-12-02
CPI Transportation,113.55,113.38,points,Oct 2025,2025-12-02
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-02
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-02
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-02
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-03
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-03
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-03
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-03
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-03
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-03
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-03
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-03
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-04
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-04
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-04
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-04
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-04
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-04
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-04
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-04
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-05
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-05
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-05
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-05
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-05
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-05
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-05
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-05
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-06
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-06
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-06
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-06
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-06
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-06
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-06
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-06
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-07
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-07
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-07
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-07
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-07
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-07
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-07
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-07
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-08
Core Consumer Prices,116.07,116.02,points,Oct 2025,2025-12-08
Core Inflation Rate,2.12,2.09,percent,Oct 2025,2025-12-08
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-08
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-08
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-08
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-08
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-08
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-09
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-09
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-09
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-09
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-09
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-09
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-09
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-09
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-10
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-10
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-10
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-10
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-10
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-10
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-10
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-10
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-11
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-11
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-11
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-11
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-11
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-11
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-11
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-11
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-12
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-12
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-12
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-12
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-12
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-12
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-12
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-12
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-13
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-13
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-13
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-13
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-13
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-13
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-13
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-13
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-14
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-14
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-14
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-14
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-14
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-14
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-14
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-14
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-15
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-15
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-15
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-15
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-15
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-15
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-15
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-15
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-16
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-16
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-16
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-16
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-16
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-16
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-16
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-16
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-17
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-17
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-17
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-17
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-17
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-17
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-17
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-17
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-18
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-18
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-18
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-18
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-18
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-18
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-18
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-18
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-19
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-19
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-19
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-19
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-19
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-19
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-19
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-19
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-20
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-20
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-20
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-20
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-20
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-20
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-20
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-20
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-21
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-21
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-21
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-21
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-21
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-21
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-21
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-21
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-22
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-22
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-22
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-22
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-22
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-22
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-22
Producer Prices,126.58,127.38,points,Oct 2025,2025-12-22
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-23
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-23
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-23
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-23
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-23
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-23
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-23
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-23
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-24
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-24
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-24
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-24
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-24
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-24
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-24
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-24
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-25
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-25
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-25
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-25
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-25
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-25
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-25
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-25
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-26
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-26
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-26
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-26
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-26
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-26
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-26
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-26
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-27
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-27
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-27
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-27
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-27
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-27
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-27
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-27
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-28
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-28
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-28
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-28
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-28
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-28
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-28
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-28
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-29
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-29
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-29
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-29
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-29
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-29
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-29
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-29
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-30
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-30
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-30
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-30
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-30
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-30
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-30
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-30
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2025-12-31
Core Consumer Prices,116.22,116.07,points,Nov 2025,2025-12-31
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2025-12-31
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2025-12-31
CPI Transportation,113.56,113.55,points,Nov 2025,2025-12-31
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2025-12-31
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2025-12-31
Producer Prices,126.09,126.58,points,Nov 2025,2025-12-31
Consumer Price Index CPI,115.61,115.48,points,Nov 2025,2026-01-01
Core Consumer Prices,116.22,116.07,points,Nov 2025,2026-01-01
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2026-01-01
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2026-01-01
CPI Transportation,113.56,113.55,points,Nov 2025,2026-01-01
Inflation Rate YoY,1.37,1.35,percent,Nov 2025,2026-01-01
Inflation Rate MoM,0.11,-0.1,percent,Nov 2025,2026-01-01
Producer Prices,126.09,126.58,points,Nov 2025,2026-01-01
Consumer Price Index CPI,115.89,115.61,points,Dec 2025,2026-01-02
Core Consumer Prices,116.22,116.07,points,Nov 2025,2026-01-02
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2026-01-02
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2026-01-02
CPI Transportation,113.56,113.55,points,Nov 2025,2026-01-02
Inflation Rate YoY,1.51,1.37,percent,Dec 2025,2026-01-02
Inflation Rate MoM,0.24,0.11,percent,Dec 2025,2026-01-02
Producer Prices,126.09,126.58,points,Nov 2025,2026-01-02
Consumer Price Index CPI,115.89,115.61,points,Dec 2025,2026-01-03
Core Consumer Prices,116.22,116.07,points,Nov 2025,2026-01-03
Core Inflation Rate,2.12,2.12,percent,Nov 2025,2026-01-03
CPI Housing Utilities,101.93,102.34,points,Nov 2025,2026-01-03
CPI Transportation,113.56,113.55,points,Nov 2025,2026-01-03
